measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Canada,Female,65 to 69,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,1494.6495989396035,2274.441843137477,703.1297068771969
YLLs (Years of Life Lost),Canada,Both,65 to 69,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,4315.9604014881115,5983.672040719099,2644.9092466537127
YLLs (Years of Life Lost),Canada,Male,70 to 74,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,3079.8121344440683,4668.799167371644,1665.7291181745927
YLLs (Years of Life Lost),Canada,Female,70 to 74,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,1803.6489522403995,2734.9243341875726,775.2187866526237
YLLs (Years of Life Lost),Canada,Both,70 to 74,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,4883.461086684467,6854.5947625895715,2866.6824504374954
YLLs (Years of Life Lost),Canada,Male,75 to 79,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,2779.550261590418,4460.140694376398,1482.7236933836152
YLLs (Years of Life Lost),Canada,Female,75 to 79,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,1775.8567482732085,2764.7590209099967,729.953286377026
YLLs (Years of Life Lost),Canada,Both,75 to 79,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,4555.407009863626,6526.530591816127,2492.475771490779
YLLs (Years of Life Lost),Canada,Male,80 plus,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,3834.9184930891834,5793.416431099061,1849.2099530240266
YLLs (Years of Life Lost),Canada,Female,80 plus,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,3279.762601247043,4533.17195761506,1379.6455574383901
YLLs (Years of Life Lost),Canada,Both,80 plus,Interstitial lung disease and pulmonary sarcoidosis,Number,2017,7114.68109433623,9764.46779486766,3697.332745750759
YLLs (Years of Life Lost),Canada,Male,15 to 19,Ischemic heart disease,Number,2017,180.03900440721787,244.55361893794037,126.9461835460002
YLLs (Years of Life Lost),Canada,Female,15 to 19,Ischemic heart disease,Number,2017,102.87922361704867,141.78492138623918,70.8993696459359
YLLs (Years of Life Lost),Canada,Both,15 to 19,Ischemic heart disease,Number,2017,282.91822802426645,361.3752650302495,215.80519789079216
YLLs (Years of Life Lost),Canada,Male,20 to 24,Ischemic heart disease,Number,2017,430.85593072048107,583.2739635198853,304.11018381063764
YLLs (Years of Life Lost),Canada,Female,20 to 24,Ischemic heart disease,Number,2017,188.24671246172286,258.5801936587255,132.814778745347
YLLs (Years of Life Lost),Canada,Both,20 to 24,Ischemic heart disease,Number,2017,619.1026431822033,778.0432404066664,482.1731423891593
YLLs (Years of Life Lost),Canada,Male,25 to 29,Ischemic heart disease,Number,2017,1022.4912733800544,1316.2702204662362,764.0561676329622
YLLs (Years of Life Lost),Canada,Female,25 to 29,Ischemic heart disease,Number,2017,330.86736867730775,441.53478623875486,236.10304023264013
YLLs (Years of Life Lost),Canada,Both,25 to 29,Ischemic heart disease,Number,2017,1353.3586420573629,1673.9681040494504,1070.1645701586478
YLLs (Years of Life Lost),Canada,Male,30 to 34,Ischemic heart disease,Number,2017,1933.9373792343827,2453.7038336704313,1476.9014114575084
YLLs (Years of Life Lost),Canada,Female,30 to 34,Ischemic heart disease,Number,2017,725.5774670982578,984.1604896002673,528.1732189978616
YLLs (Years of Life Lost),Canada,Both,30 to 34,Ischemic heart disease,Number,2017,2659.5148463326373,3252.7292416454807,2159.817383607057
YLLs (Years of Life Lost),Canada,Male,35 to 39,Ischemic heart disease,Number,2017,4166.423769562679,5248.754195100127,3232.9927582734863
YLLs (Years of Life Lost),Canada,Female,35 to 39,Ischemic heart disease,Number,2017,1108.9077005656711,1481.1981802916735,816.8011078219773
YLLs (Years of Life Lost),Canada,Both,35 to 39,Ischemic heart disease,Number,2017,5275.331470128341,6393.774052868445,4302.479518153416
YLLs (Years of Life Lost),Canada,Male,40 to 44,Ischemic heart disease,Number,2017,8941.39409522171,10844.046639436396,7316.06356571007
YLLs (Years of Life Lost),Canada,Female,40 to 44,Ischemic heart disease,Number,2017,2187.614942588684,2736.5564932876377,1721.1502481017135
YLLs (Years of Life Lost),Canada,Both,40 to 44,Ischemic heart disease,Number,2017,11129.009037810409,13127.45106270343,9423.363081193384
YLLs (Years of Life Lost),Canada,Male,45 to 49,Ischemic heart disease,Number,2017,16771.870952283232,19905.798811588225,14023.73556997967
YLLs (Years of Life Lost),Canada,Female,45 to 49,Ischemic heart disease,Number,2017,4084.9463460088505,5140.434240740319,3232.2363007202616
YLLs (Years of Life Lost),Canada,Both,45 to 49,Ischemic heart disease,Number,2017,20856.8172982921,24175.25611606973,17919.120108015766
YLLs (Years of Life Lost),Canada,Male,50 to 54,Ischemic heart disease,Number,2017,31910.507286043267,36542.63266673262,27570.236072718424
YLLs (Years of Life Lost),Canada,Female,50 to 54,Ischemic heart disease,Number,2017,7629.01907241431,9331.814467861264,6088.6816227345125
YLLs (Years of Life Lost),Canada,Both,50 to 54,Ischemic heart disease,Number,2017,39539.5263584575,44649.972878433255,35092.1136926306
YLLs (Years of Life Lost),Canada,Male,55 to 59,Ischemic heart disease,Number,2017,45916.627551217294,51754.02273686021,40037.48483629872
YLLs (Years of Life Lost),Canada,Female,55 to 59,Ischemic heart disease,Number,2017,11901.402456576167,14330.655872924268,9570.937091802458
YLLs (Years of Life Lost),Canada,Both,55 to 59,Ischemic heart disease,Number,2017,57818.03000779358,64573.32504994566,51120.46329324178
YLLs (Years of Life Lost),Canada,Male,60 to 64,Ischemic heart disease,Number,2017,52369.23010786177,59251.96983463534,45848.63029628167
YLLs (Years of Life Lost),Canada,Female,60 to 64,Ischemic heart disease,Number,2017,16151.60483548901,19244.91981087622,13307.96710807583
YLLs (Years of Life Lost),Canada,Both,60 to 64,Ischemic heart disease,Number,2017,68520.83494335091,76049.14849020037,61117.44766875749
YLLs (Years of Life Lost),Canada,Male,65 to 69,Ischemic heart disease,Number,2017,55309.622961131456,62398.7993927123,48333.55212756337
YLLs (Years of Life Lost),Canada,Female,65 to 69,Ischemic heart disease,Number,2017,21089.046307133438,24636.047529799358,17549.35077982425
YLLs (Years of Life Lost),Canada,Both,65 to 69,Ischemic heart disease,Number,2017,76398.66926826471,84491.8080314563,68610.9830580163
YLLs (Years of Life Lost),Canada,Male,70 to 74,Ischemic heart disease,Number,2017,51672.629296425876,58682.68354538358,45542.5504624037
YLLs (Years of Life Lost),Canada,Female,70 to 74,Ischemic heart disease,Number,2017,25205.154625426105,29375.80177249741,21531.77378237122
YLLs (Years of Life Lost),Canada,Both,70 to 74,Ischemic heart disease,Number,2017,76877.78392185191,84575.42931832411,69900.37517261329
YLLs (Years of Life Lost),Canada,Male,75 to 79,Ischemic heart disease,Number,2017,45849.84813945989,51732.786999791984,40668.17346517612
YLLs (Years of Life Lost),Canada,Female,75 to 79,Ischemic heart disease,Number,2017,27666.675998138933,32002.607761408948,23543.07562063152
YLLs (Years of Life Lost),Canada,Both,75 to 79,Ischemic heart disease,Number,2017,73516.52413759875,80601.94102956803,66706.59816518049
YLLs (Years of Life Lost),Canada,Male,80 plus,Ischemic heart disease,Number,2017,90146.92658356264,97832.38780704215,83020.27351520113
YLLs (Years of Life Lost),Canada,Female,80 plus,Ischemic heart disease,Number,2017,105209.28048433634,114413.28100693767,97425.21753147586
YLLs (Years of Life Lost),Canada,Both,80 plus,Ischemic heart disease,Number,2017,195356.20706789888,206756.7447095095,184484.96177855044
YLLs (Years of Life Lost),Canada,Male,1 to 4,Stroke,Number,2017,73.80989585717997,107.90419955671742,46.82312585532609
YLLs (Years of Life Lost),Canada,Female,1 to 4,Stroke,Number,2017,66.71280885621475,99.01823538420786,43.49705396397535
YLLs (Years of Life Lost),Canada,Both,1 to 4,Stroke,Number,2017,140.52270471339455,189.9767279422469,99.1022852805992
YLLs (Years of Life Lost),Canada,Male,5 to 9,Stroke,Number,2017,57.67630390813572,84.32031063557345,39.08614302538478
YLLs (Years of Life Lost),Canada,Female,5 to 9,Stroke,Number,2017,66.26022205616795,90.54622615557197,45.187019142731174
YLLs (Years of Life Lost),Canada,Both,5 to 9,Stroke,Number,2017,123.93652596430383,159.13701728147424,93.54181242464765
YLLs (Years of Life Lost),Canada,Male,10 to 14,Stroke,Number,2017,106.40955257779895,151.74229902902832,71.67438472175891
YLLs (Years of Life Lost),Canada,Female,10 to 14,Stroke,Number,2017,97.10200963957384,133.21199784886608,67.59558884912549
YLLs (Years of Life Lost),Canada,Both,10 to 14,Stroke,Number,2017,203.51156221737287,261.10627556277916,157.6419037175709
YLLs (Years of Life Lost),Canada,Male,15 to 19,Stroke,Number,2017,195.0648005285735,269.62315538657293,137.54345058054665
YLLs (Years of Life Lost),Canada,Female,15 to 19,Stroke,Number,2017,166.42700321335894,234.73538908733107,114.36590929394218
YLLs (Years of Life Lost),Canada,Both,15 to 19,Stroke,Number,2017,361.49180374193196,460.3176940204982,274.5060164466102
YLLs (Years of Life Lost),Canada,Male,20 to 24,Stroke,Number,2017,362.1979861446645,482.5937589167313,261.3589140686588
YLLs (Years of Life Lost),Canada,Female,20 to 24,Stroke,Number,2017,281.0548368147897,383.1009254408581,198.83549377786403
YLLs (Years of Life Lost),Canada,Both,20 to 24,Stroke,Number,2017,643.2528229594549,804.1328310595361,509.9962558359527
YLLs (Years of Life Lost),Canada,Male,25 to 29,Stroke,Number,2017,530.2320875307557,729.8160406300793,373.23910764276366
YLLs (Years of Life Lost),Canada,Female,25 to 29,Stroke,Number,2017,448.87781399906413,597.3233019720395,334.7602616553133
YLLs (Years of Life Lost),Canada,Both,25 to 29,Stroke,Number,2017,979.1099015298186,1215.8216806632151,773.0568638686376
YLLs (Years of Life Lost),Canada,Male,30 to 34,Stroke,Number,2017,650.5684988785755,890.7630640490815,459.88583228865195
YLLs (Years of Life Lost),Canada,Female,30 to 34,Stroke,Number,2017,779.6547006073241,1020.5115908350222,574.0447293656084
YLLs (Years of Life Lost),Canada,Both,30 to 34,Stroke,Number,2017,1430.2231994858996,1745.801625970166,1118.9615560385487
YLLs (Years of Life Lost),Canada,Male,35 to 39,Stroke,Number,2017,973.5242903331102,1307.3353820604084,687.2608890587628
YLLs (Years of Life Lost),Canada,Female,35 to 39,Stroke,Number,2017,1046.3805711915281,1385.8976604599281,767.500907620248
YLLs (Years of Life Lost),Canada,Both,35 to 39,Stroke,Number,2017,2019.9048615246404,2519.223318806405,1614.561678792237
YLLs (Years of Life Lost),Canada,Male,40 to 44,Stroke,Number,2017,1806.7509882040301,2410.642479927153,1333.350473233384
YLLs (Years of Life Lost),Canada,Female,40 to 44,Stroke,Number,2017,1699.7348705831641,2184.2584668466957,1307.4286326024123
YLLs (Years of Life Lost),Canada,Both,40 to 44,Stroke,Number,2017,3506.485858787197,4241.069142292659,2889.1008053026535
YLLs (Years of Life Lost),Canada,Male,45 to 49,Stroke,Number,2017,3068.700495595922,4020.8176595270907,2352.421723997082
YLLs (Years of Life Lost),Canada,Female,45 to 49,Stroke,Number,2017,2558.4147477137185,3300.618564679087,1920.877847539162
YLLs (Years of Life Lost),Canada,Both,45 to 49,Stroke,Number,2017,5627.115243309637,6779.532298276854,4616.971317824121
YLLs (Years of Life Lost),Canada,Male,50 to 54,Stroke,Number,2017,5374.990606514057,6800.567061824929,4157.095716891074
YLLs (Years of Life Lost),Canada,Female,50 to 54,Stroke,Number,2017,3989.438568197124,4974.309755470557,3035.8783655710286
YLLs (Years of Life Lost),Canada,Both,50 to 54,Stroke,Number,2017,9364.42917471117,11125.651113529444,7898.810324097975
YLLs (Years of Life Lost),Canada,Male,55 to 59,Stroke,Number,2017,7370.5625992146615,9463.125647661745,5683.138788117555
YLLs (Years of Life Lost),Canada,Female,55 to 59,Stroke,Number,2017,5227.285711357781,6631.653424952457,4037.2845882771844
YLLs (Years of Life Lost),Canada,Both,55 to 59,Stroke,Number,2017,12597.848310572446,15040.45099773046,10441.281131899399
YLLs (Years of Life Lost),Canada,Male,60 to 64,Stroke,Number,2017,9206.010168322351,11449.90358807491,7242.347744515674
YLLs (Years of Life Lost),Canada,Female,60 to 64,Stroke,Number,2017,6050.459850301182,7639.3034233869785,4644.594860069215
YLLs (Years of Life Lost),Canada,Both,60 to 64,Stroke,Number,2017,15256.470018623544,18075.166615214195,12773.766571848615
YLLs (Years of Life Lost),Canada,Male,65 to 69,Stroke,Number,2017,11425.878742440955,13879.614960523604,9076.02508909851
YLLs (Years of Life Lost),Canada,Female,65 to 69,Stroke,Number,2017,8013.710307690211,10022.38877265593,6259.193360422289
YLLs (Years of Life Lost),Canada,Both,65 to 69,Stroke,Number,2017,19439.58905013114,22803.975555484336,16409.414606276394
YLLs (Years of Life Lost),Canada,Male,70 to 74,Stroke,Number,2017,13282.949125389758,16240.121238102862,10685.764633310318
YLLs (Years of Life Lost),Canada,Female,70 to 74,Stroke,Number,2017,10546.958986592532,13147.052963815895,8316.437927124367
YLLs (Years of Life Lost),Canada,Both,70 to 74,Stroke,Number,2017,23829.908111982306,27719.699619405877,20562.504341721266
YLLs (Years of Life Lost),Canada,Male,75 to 79,Stroke,Number,2017,14341.861922673243,17506.84177366342,11494.760097050103
YLLs (Years of Life Lost),Canada,Female,75 to 79,Stroke,Number,2017,13272.970397348096,15852.685552943944,10886.58104985533
YLLs (Years of Life Lost),Canada,Both,75 to 79,Stroke,Number,2017,27614.832320021353,31559.012114108922,24038.951824049844
YLLs (Years of Life Lost),Canada,Male,80 plus,Stroke,Number,2017,32436.086182238098,36371.17402234589,28377.712796705466
YLLs (Years of Life Lost),Canada,Female,80 plus,Stroke,Number,2017,49775.73259714389,55285.58835492732,45140.24659929046
YLLs (Years of Life Lost),Canada,Both,80 plus,Stroke,Number,2017,82211.81877938197,88800.22180494644,76006.93857830967
YLLs (Years of Life Lost),Canada,Male,1 to 4,Chronic obstructive pulmonary disease,Number,2017,13.091403627904402,20.14286049877257,7.832946186286569
YLLs (Years of Life Lost),Canada,Female,1 to 4,Chronic obstructive pulmonary disease,Number,2017,18.4232048184049,29.734619474835668,10.035213568960183
YLLs (Years of Life Lost),Canada,Both,1 to 4,Chronic obstructive pulmonary disease,Number,2017,31.514608446309317,44.95599554794254,20.82562006982024
YLLs (Years of Life Lost),Canada,Male,5 to 9,Chronic obstructive pulmonary disease,Number,2017,9.826442487761145,14.36575191943866,6.464726010282221
YLLs (Years of Life Lost),Canada,Female,5 to 9,Chronic obstructive pulmonary disease,Number,2017,13.338264967555647,20.766460868237115,8.167052405525597
YLLs (Years of Life Lost),Canada,Both,5 to 9,Chronic obstructive pulmonary disease,Number,2017,23.164707455316798,31.79832366526179,16.19188852856516
YLLs (Years of Life Lost),Canada,Male,10 to 14,Chronic obstructive pulmonary disease,Number,2017,13.126717784239565,19.969293498698345,8.170145299638495
YLLs (Years of Life Lost),Canada,Female,10 to 14,Chronic obstructive pulmonary disease,Number,2017,13.63445367518302,22.33903611237651,7.651258576379958
YLLs (Years of Life Lost),Canada,Both,10 to 14,Chronic obstructive pulmonary disease,Number,2017,26.761171459422563,37.56828599699294,18.294172163442628
YLLs (Years of Life Lost),Canada,Male,15 to 19,Chronic obstructive pulmonary disease,Number,2017,54.84343006074401,79.36422891437364,36.8809099303724
YLLs (Years of Life Lost),Canada,Female,15 to 19,Chronic obstructive pulmonary disease,Number,2017,53.529257473796854,79.09072254947829,33.88914304498956
YLLs (Years of Life Lost),Canada,Both,15 to 19,Chronic obstructive pulmonary disease,Number,2017,108.37268753454079,142.45522918930197,81.07411613116095
YLLs (Years of Life Lost),Canada,Male,20 to 24,Chronic obstructive pulmonary disease,Number,2017,68.29986369366449,99.34708011077777,43.52243962638942
YLLs (Years of Life Lost),Canada,Female,20 to 24,Chronic obstructive pulmonary disease,Number,2017,56.003730141303414,81.83158103833998,36.09490832878829
YLLs (Years of Life Lost),Canada,Both,20 to 24,Chronic obstructive pulmonary disease,Number,2017,124.30359383496781,163.73739133444408,90.34796101234522
YLLs (Years of Life Lost),Canada,Male,25 to 29,Chronic obstructive pulmonary disease,Number,2017,64.53711766234736,93.6590323145386,42.440581874415564
YLLs (Years of Life Lost),Canada,Female,25 to 29,Chronic obstructive pulmonary disease,Number,2017,80.26503963003827,115.39235136020984,53.00255487936837
YLLs (Years of Life Lost),Canada,Both,25 to 29,Chronic obstructive pulmonary disease,Number,2017,144.80215729238583,190.89481049352543,107.05176320850455
YLLs (Years of Life Lost),Canada,Male,30 to 34,Chronic obstructive pulmonary disease,Number,2017,89.5788851603913,131.83082274060052,58.65704068497854
YLLs (Years of Life Lost),Canada,Female,30 to 34,Chronic obstructive pulmonary disease,Number,2017,98.91218176361872,145.33266349309466,61.13918491512402
YLLs (Years of Life Lost),Canada,Both,30 to 34,Chronic obstructive pulmonary disease,Number,2017,188.4910669240101,251.12980991279872,132.8178068061533
YLLs (Years of Life Lost),Canada,Male,35 to 39,Chronic obstructive pulmonary disease,Number,2017,146.79830367181884,214.94697622608643,93.57603229350536
YLLs (Years of Life Lost),Canada,Female,35 to 39,Chronic obstructive pulmonary disease,Number,2017,131.0491965435219,189.2328335716179,82.17434167219287
YLLs (Years of Life Lost),Canada,Both,35 to 39,Chronic obstructive pulmonary disease,Number,2017,277.84750021534126,365.2779651761453,195.8729769672845
YLLs (Years of Life Lost),Canada,Male,40 to 44,Chronic obstructive pulmonary disease,Number,2017,328.94777859552136,440.2545358652191,229.82557788515402
YLLs (Years of Life Lost),Canada,Female,40 to 44,Chronic obstructive pulmonary disease,Number,2017,302.23417591024605,417.5279582063583,202.6655806769303
YLLs (Years of Life Lost),Canada,Both,40 to 44,Chronic obstructive pulmonary disease,Number,2017,631.1819545057687,795.5301548174364,467.86383227400216
YLLs (Years of Life Lost),Canada,Male,45 to 49,Chronic obstructive pulmonary disease,Number,2017,816.4651571215286,1044.8451726860003,609.6375340327986
YLLs (Years of Life Lost),Canada,Female,45 to 49,Chronic obstructive pulmonary disease,Number,2017,739.7265391876181,970.6781798884134,535.6968300795834
YLLs (Years of Life Lost),Canada,Both,45 to 49,Chronic obstructive pulmonary disease,Number,2017,1556.1916963091487,1877.825555111941,1272.039157163041
YLLs (Years of Life Lost),Canada,Male,50 to 54,Chronic obstructive pulmonary disease,Number,2017,2383.503483591969,3006.1365951525013,1829.4096477401622
YLLs (Years of Life Lost),Canada,Female,50 to 54,Chronic obstructive pulmonary disease,Number,2017,1930.081056911373,2422.371821707564,1516.3275136560374
YLLs (Years of Life Lost),Canada,Both,50 to 54,Chronic obstructive pulmonary disease,Number,2017,4313.5845405033415,5089.79712539487,3602.208923145063
YLLs (Years of Life Lost),Canada,Male,55 to 59,Chronic obstructive pulmonary disease,Number,2017,5259.835275372684,6735.817003667991,4023.8444289805075
YLLs (Years of Life Lost),Canada,Female,55 to 59,Chronic obstructive pulmonary disease,Number,2017,4037.469742028178,5047.718567747954,3162.0252876303502
YLLs (Years of Life Lost),Canada,Both,55 to 59,Chronic obstructive pulmonary disease,Number,2017,9297.305017400848,11021.81931579108,7719.20333333599
YLLs (Years of Life Lost),Canada,Male,60 to 64,Chronic obstructive pulmonary disease,Number,2017,8726.930333038705,10787.875640938239,6830.630092497788
YLLs (Years of Life Lost),Canada,Female,60 to 64,Chronic obstructive pulmonary disease,Number,2017,6677.186295484737,8391.455719030198,5289.516835759533
YLLs (Years of Life Lost),Canada,Both,60 to 64,Chronic obstructive pulmonary disease,Number,2017,15404.116628523443,18094.624702380886,12906.030977882516
YLLs (Years of Life Lost),Canada,Male,65 to 69,Chronic obstructive pulmonary disease,Number,2017,12827.361159845746,15846.352276948384,10310.94657117304
YLLs (Years of Life Lost),Canada,Female,65 to 69,Chronic obstructive pulmonary disease,Number,2017,10592.436568912117,13150.313888753253,8293.332642571615
YLLs (Years of Life Lost),Canada,Both,65 to 69,Chronic obstructive pulmonary disease,Number,2017,23419.797728757836,27828.337762466876,19860.439351360423
YLLs (Years of Life Lost),Canada,Male,70 to 74,Chronic obstructive pulmonary disease,Number,2017,16304.814128924912,19845.173107108658,12980.51705613623
YLLs (Years of Life Lost),Canada,Female,70 to 74,Chronic obstructive pulmonary disease,Number,2017,13238.067967836314,16227.260726665776,10618.820782212337
YLLs (Years of Life Lost),Canada,Both,70 to 74,Chronic obstructive pulmonary disease,Number,2017,29542.88209676122,34121.70101142583,25498.86813425875
YLLs (Years of Life Lost),Canada,Male,75 to 79,Chronic obstructive pulmonary disease,Number,2017,15989.544840591656,19526.49693556826,13046.807619920633
YLLs (Years of Life Lost),Canada,Female,75 to 79,Chronic obstructive pulmonary disease,Number,2017,13113.923618750852,16369.742715146464,10572.271016700583
YLLs (Years of Life Lost),Canada,Both,75 to 79,Chronic obstructive pulmonary disease,Number,2017,29103.468459342486,33840.32589577407,24760.00187292115
YLLs (Years of Life Lost),Canada,Male,80 plus,Chronic obstructive pulmonary disease,Number,2017,30630.044653593246,35205.44532479618,26550.130052669545
YLLs (Years of Life Lost),Canada,Female,80 plus,Chronic obstructive pulmonary disease,Number,2017,25875.5618172493,29637.09045727365,22634.841729878095
YLLs (Years of Life Lost),Canada,Both,80 plus,Chronic obstructive pulmonary disease,Number,2017,56505.60647084266,62430.27404573174,50902.14677550636
Deaths,Canada,Male,1 to 4,Diabetes mellitus,Number,2017,0.3525873618461514,0.535958808805065,0.2142273888493998
Deaths,Canada,Female,1 to 4,Diabetes mellitus,Number,2017,0.3086825481386024,0.4464264819266917,0.19651524044529153
Deaths,Canada,Both,1 to 4,Diabetes mellitus,Number,2017,0.6612699099847528,0.9231331743730247,0.4530944126010071
Deaths,Canada,Male,5 to 9,Diabetes mellitus,Number,2017,0.14989723217694392,0.27136959241332914,0.09539925663940992
Deaths,Canada,Female,5 to 9,Diabetes mellitus,Number,2017,0.2075690807346087,0.31898058649202815,0.1364609559017918
Deaths,Canada,Both,5 to 9,Diabetes mellitus,Number,2017,0.3574663129115519,0.5594622229196211,0.26088100359647726
Deaths,Canada,Male,10 to 14,Diabetes mellitus,Number,2017,0.4019792234326972,0.7232453540284444,0.25282063932698484
Deaths,Canada,Female,10 to 14,Diabetes mellitus,Number,2017,0.5214625812069699,0.828366491521212,0.33695234606793323
Deaths,Canada,Both,10 to 14,Diabetes mellitus,Number,2017,0.9234418046396667,1.4189598875063387,0.6753371333688584
Deaths,Canada,Male,15 to 19,Diabetes mellitus,Number,2017,1.3398333391606787,1.774245342909804,0.9789486551164066
Deaths,Canada,Female,15 to 19,Diabetes mellitus,Number,2017,1.1520774358076329,1.558595350103815,0.8345287258771455
Deaths,Canada,Both,15 to 19,Diabetes mellitus,Number,2017,2.4919107749683103,3.0787379358243196,2.0020279857616217
Deaths,Canada,Male,20 to 24,Diabetes mellitus,Number,2017,3.794102116283773,4.950602381958701,2.8337788882140242
Deaths,Canada,Female,20 to 24,Diabetes mellitus,Number,2017,2.626641916275024,3.5252384861417947,1.9273650726380769
Deaths,Canada,Both,20 to 24,Diabetes mellitus,Number,2017,6.420744032558798,7.727157152251505,5.196063232436545
Deaths,Canada,Male,25 to 29,Diabetes mellitus,Number,2017,7.529453975840864,9.639477192191444,5.742985334519093
Deaths,Canada,Female,25 to 29,Diabetes mellitus,Number,2017,4.295211895383974,5.834812613965527,3.0092978529678778
Deaths,Canada,Both,25 to 29,Diabetes mellitus,Number,2017,11.824665871224834,14.577738100955733,9.58654089936894
Deaths,Canada,Male,30 to 34,Diabetes mellitus,Number,2017,13.149240462028141,17.220777719763994,9.93516673136743
Deaths,Canada,Female,30 to 34,Diabetes mellitus,Number,2017,7.244576590711212,9.485646937676961,5.461257063417458
Deaths,Canada,Both,30 to 34,Diabetes mellitus,Number,2017,20.393817052739323,25.192733387253956,16.712399469821282
Deaths,Canada,Male,35 to 39,Diabetes mellitus,Number,2017,21.21663389215562,26.79516294321876,16.56776755159461
Deaths,Canada,Female,35 to 39,Diabetes mellitus,Number,2017,10.157568532596693,13.522363193488909,7.639325814424905
Deaths,Canada,Both,35 to 39,Diabetes mellitus,Number,2017,31.374202424752305,37.96731869642145,26.033345333130622
Deaths,Canada,Male,40 to 44,Diabetes mellitus,Number,2017,36.50713999933955,47.074604221180955,27.70514666004896
Deaths,Canada,Female,40 to 44,Diabetes mellitus,Number,2017,17.06828201448145,21.87335802198862,13.234868900582518
Deaths,Canada,Both,40 to 44,Diabetes mellitus,Number,2017,53.57542201382104,65.3094359281883,43.93923425755455
Deaths,Canada,Male,45 to 49,Diabetes mellitus,Number,2017,66.61921278917868,83.4505538592677,52.11282235382141
Deaths,Canada,Female,45 to 49,Diabetes mellitus,Number,2017,32.01041000635446,41.44076717829333,23.951936361965302
Deaths,Canada,Both,45 to 49,Diabetes mellitus,Number,2017,98.62962279553315,116.32444588639956,81.91248403188769
Deaths,Canada,Male,50 to 54,Diabetes mellitus,Number,2017,129.71349291251175,162.56070230606943,101.7768976373027
Deaths,Canada,Female,50 to 54,Diabetes mellitus,Number,2017,60.314951014166894,77.69602050523602,46.35565115199718
Deaths,Canada,Both,50 to 54,Diabetes mellitus,Number,2017,190.0284439266788,231.15520485273635,157.27559195897913
Deaths,Canada,Male,55 to 59,Diabetes mellitus,Number,2017,228.5812508177292,288.60605630229225,179.76852309374362
Deaths,Canada,Female,55 to 59,Diabetes mellitus,Number,2017,101.75993161645467,131.45076674771744,77.00844586735563
Deaths,Canada,Both,55 to 59,Diabetes mellitus,Number,2017,330.34118243418453,397.27060948098944,273.20951421062983
Deaths,Canada,Male,60 to 64,Diabetes mellitus,Number,2017,323.58758800757187,417.62002778254833,252.52042222996013
Deaths,Canada,Female,60 to 64,Diabetes mellitus,Number,2017,161.6038432580656,204.9569783323986,124.10506449728796
Deaths,Canada,Both,60 to 64,Diabetes mellitus,Number,2017,485.19143126563756,583.478026893185,400.9434073856946
Deaths,Canada,Male,65 to 69,Diabetes mellitus,Number,2017,407.723786476615,511.44064317505104,318.0485961518084
Deaths,Canada,Female,65 to 69,Diabetes mellitus,Number,2017,247.81869507149054,318.5498820871175,193.16236770075997
Deaths,Canada,Both,65 to 69,Diabetes mellitus,Number,2017,655.5424815481048,775.9698359929507,540.0165277309993
Deaths,Canada,Male,70 to 74,Diabetes mellitus,Number,2017,486.92289538035936,611.8551916762858,388.14117830451806
Deaths,Canada,Female,70 to 74,Diabetes mellitus,Number,2017,298.24248008024244,379.67180782815564,231.73503597190913
Deaths,Canada,Both,70 to 74,Diabetes mellitus,Number,2017,785.1653754606026,924.9363499840033,663.6264325739878
Deaths,Canada,Male,75 to 79,Diabetes mellitus,Number,2017,531.7620903421555,660.9769297530628,420.4674277289075
Deaths,Canada,Female,75 to 79,Diabetes mellitus,Number,2017,364.36948440975823,467.65304007934515,287.8426437562661
Deaths,Canada,Both,75 to 79,Diabetes mellitus,Number,2017,896.1315747519146,1055.1244011504787,754.1303894474662
Deaths,Canada,Male,80 plus,Diabetes mellitus,Number,2017,1497.1086795788194,1694.6563939912876,1314.799356977661
Deaths,Canada,Female,80 plus,Diabetes mellitus,Number,2017,1892.234202498641,2137.690919059947,1677.7790994046609
Deaths,Canada,Both,80 plus,Diabetes mellitus,Number,2017,3389.3428820774625,3678.95657593582,3114.0461329582145
Deaths,Canada,Male,1 to 4,Chronic obstructive pulmonary disease,Number,2017,0.15335105807977173,0.23595093834368897,0.09175414796535761
Deaths,Canada,Female,1 to 4,Chronic obstructive pulmonary disease,Number,2017,0.21560648005959399,0.3479837902293827,0.1174419486499043
Deaths,Canada,Both,1 to 4,Chronic obstructive pulmonary disease,Number,2017,0.36895753813936616,0.5263170486864085,0.24381070238471558
Deaths,Canada,Male,5 to 9,Chronic obstructive pulmonary disease,Number,2017,0.12185150301092283,0.1781406104443074,0.08016498156762451
Deaths,Canada,Female,5 to 9,Chronic obstructive pulmonary disease,Number,2017,0.16515439484047537,0.2571303153756914,0.10112444166808417
