"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
Moderately severe hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),--
Severe hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).","0.261
(0.175-0.360)"
Severe vision impairment due to H influenza type B meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Mild motor impairment due to long term due to H influenzae type B meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Moderate vision impairment due to H influenza type B meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Blindness due to H influenzae type B meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Monocular distance vision loss due to H influenzae type B meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,"0.017
(0.009-0.029)"
Complete hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.316
(0.212-0.435)"
Complete hearing loss due to H influenzae type B meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.215
(0.144-0.307)"
Acute H influenzae type B meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Mild behavioral problems due to H influenzae type B meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ","0.045
(0.028-0.066)"
Moderate hearing loss due to H influenzae type B meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.","0.027
(0.015-0.042)"
Moderate motor impairment due to H influenzae type B meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Mild intellectual disability due to H influenzae type B meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Mild hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.","0.021
(0.012-0.036)"
Severe motor impairment due to H influenzae type B meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Moderate motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.","0.203
(0.134-0.290)"
Profound hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.","0.277
(0.182-0.387)"
Profound hearing loss due to H influenzae type B meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to other soften cause worry, depression, and loneliness.","0.204
(0.134-0.288)"
Severe hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).","0.261
(0.175-0.360)"
Severe hearing loss due to H influenzae type B meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).","0.158
(0.105-0.227)"
Moderately severe hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),--
Moderately severe hearing loss due to H influenzae type B meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),--
Moderate hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.","0.074
(0.049-0.107)"
Severe motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Epilepsy due to H influenzae type B meningitis,Epilepsy,(combined DW),--
Mild hearing loss due to H influenzae type B meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).","0.010
(0.004-0.019)"
Borderline intellectual disability due to H influenzae type B meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Mild motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
Mild intellectual disability due to meningococcal meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Severe vision impairment due to meningococcal meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Mild hearing loss with ringing due to meningococcal meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.","0.021
(0.012-0.036)"
Moderate hearing loss due to meningococcal meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.","0.027
(0.015-0.042)"
Moderate hearing loss with ringing due to meningococcal meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.","0.074
(0.049-0.107)"
Moderately severe hearing loss due to meningococcal meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),--
Moderately severe hearing loss with ringing due to meningococcal meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),--
Severe hearing loss due to meningococcal meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).","0.158
(0.105-0.227)"
Acute meningococcal meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Severe hearing loss with ringing due to meningococcal meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).","0.261
(0.175-0.360)"
Profound hearing loss with ringing due to meningococcal meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.","0.277
(0.182-0.387)"
Complete hearing loss due to meningococcal meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.215
(0.144-0.307)"
Complete hearing loss with ringing due to meningococcal meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.316
(0.212-0.435)"
Monocular distance vision loss due to meningococcal meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,"0.017
(0.009-0.029)"
Blindness due to meningococcal meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Moderate vision impairment due to meningococcal meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Profound hearing loss due to meningococcal meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to other soften cause worry, depression, and loneliness.","0.204
(0.134-0.288)"
Mild behavioral problems due to meningococcal meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ","0.045
(0.028-0.066)"
Mild hearing loss due to meningococcal meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).","0.010
(0.004-0.019)"
Severe motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Mild motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
Borderline intellectual disability due to meningococcal meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Moderate motor impairment due to meningococcal meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Severe motor impairment due to meningococcal meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Moderate motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.","0.203
(0.134-0.290)"
Mild motor impairment due to long term due to meningococcal meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Epilepsy due to meningococcal meningitis,Epilepsy,(combined DW),--
Mild intellectual disability due to other bacterial meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Moderate motor impairment due to other bacterial meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Severe motor impairment due to other bacterial meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Moderate motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.","0.203
(0.134-0.290)"
Severe motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Epilepsy due to other meningitis,Epilepsy,(combined DW),--
Blindness due to other bacterial meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Mild hearing loss due with ringing to other bacterial meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.","0.021
(0.012-0.036)"
Mild hearing loss due to other bacterial meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).","0.010
(0.004-0.019)"
Moderate hearing loss with ringing due to other bacterial meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.","0.074
(0.049-0.107)"
Moderately severe hearing loss with ringing due to other bacterial meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),--
Severe hearing loss due to other bacterial meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).","0.158
(0.105-0.227)"
Severe hearing loss with ringing due to other bacterial meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).","0.261
(0.175-0.360)"
Profound hearing loss due to other bacterial meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to other soften cause worry, depression, and loneliness.","0.204
(0.134-0.288)"
Profound hearing loss with ringing due to other bacterial meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.","0.277
(0.182-0.387)"
Complete hearing loss due to other bacterial meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.215
(0.144-0.307)"
Complete hearing loss with ringing due to other bacterial meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.316
(0.212-0.435)"
Moderate hearing loss due to other bacterial meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.","0.027
(0.015-0.042)"
Moderately severe hearing loss due to other bacterial meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),--
Other acute bacterial meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Severe vision impairment due to other bacterial meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Borderline intellectual disability due to other bacterial meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Moderate vision impairment due to other bacterial meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Mild motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
Monocular distance vision loss due to other bacterial meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,"0.017
(0.009-0.029)"
Mild behavioral problems due to other bacterial meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ","0.045
(0.028-0.066)"
Acute viral meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Mild motor impairment due to long term due to other bacterial meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Severe vision impairment due to encephalitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Moderate vision impairment due to encephalitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Acute encephalitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Blindness due to encephalitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Epilepsy due to encephalitis,Epilepsy,(combined DW),--
Severe motor plus cognitive impairments due to encephalitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Moderate motor plus cognitive impairments due to encephalitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.","0.203
(0.134-0.290)"
Moderate motor impairment due to encephalitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Monocular distance vision loss due to encephalitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,"0.017
(0.009-0.029)"
Borderline intellectual disability due to encephalitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Mild motor plus cognitive impairments due to encephalitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
Mild behavioral problems due to encephalitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ","0.045
(0.028-0.066)"
Severe motor impairment due to encephalitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Mild intellectual disability due to encephalitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Mild motor impairment due to long term due to encephalitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Severe diphtheria,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Moderate diphtheria,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Whooping cough,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal tetanus,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),--
Mild motor plus cognitive impairments due to neonatal tetanus,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
Moderate motor plus cognitive impairment with blindness due to neonatal tetanus,Moderate motor plus cognitive impairment with blindness,(combined DW),--
Mild motor impairment due to neonatal tetanus,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Severe motor impairment with epilepsy due to neonatal tetanus,Severe motor impairment with epilepsy,(combined DW),--
Severe motor impairment with blindness and epilepsy due to neonatal tetanus,Severe motor impairment with blindness and epilepsy,(combined DW),--
Severe motor impairment with blindness due to neonatal tetanus ,Severe motor impairment with blindness,(combined DW),--
Moderate motor impairment with epilepsy due to neonatal tetanus,Moderate motor impairment with epilepsy,(combined DW),--
Moderate motor impairment with blindness and epilepsy due to neonatal tetanus,Moderate motor impairment with blindness and epilepsy,(combined DW),--
Moderate motor impairment with blindness due to neonatal tetanus,Moderate motor impairment with blindness,(combined DW),--
Moderate motor impairment due to neonatal tetanus,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Severe motor plus cognitive impairment with epilepsy due to neonatal tetanus,Severe motor plus cognitive impairment with epilepsy,(combined DW),--
Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal tetanus,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),--
Severe motor plus cognitive impairment with blindness due to neonatal tetanus,Severe motor plus cognitive impairment with blindness,(combined DW),--
Moderate motor plus cognitive impairment with epilepsy due to neonatal tetanus,Moderate motor plus cognitive impairment with epilepsy,(combined DW),--
Severe motor impairment due to neonatal tetanus,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Severe tetanus,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Moderate measles,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe measles,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Chickenpox,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.","0.006
(0.002-0.012)"
Herpes zoster,Herpes zoster,"has a blistering skin rash that causes pain, with some burning and itching.","0.058
(0.035-0.090)"
Moderate acute hepatitis A,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe acute hepatitis A,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Asymptomatic acute hepatitis A,--,--,--
Moderate acute hepatitis B,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Severe acute hepatitis B,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Asymptomatic acute hepatitis B,--,--,--
Asymptomatic acute hepatitis C,--,--,--
Severe acute hepatitis C,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Moderate acute hepatitis C,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Asymptomatic acute hepatitis E,--,--,--
Severe acute hepatitis E,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Moderate acute hepatitis E,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Guillain-Barré syndrome due to other infectious diseases,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.","0.296
(0.198-0.414)"
Mild anemia due to other infectious diseases,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Moderate anemia due to other infectious diseases,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Severe anemia due to other infectious diseases,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Other infectious diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,--
Severe anemia due to maternal hemorrhage,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Moderate anemia due to maternal hemorrhage,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Maternal hemorrhage (> 1L blood lost),"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Maternal hemorrhage (< 1L blood lost),"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Mild anemia due to maternal hemorrhage,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Other maternal infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Puerperal sepsis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Infertility due to puerperal sepsis,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ","0.005
(0.002-0.011)"
Severe pre-eclampsia,"Moderate abdominal pain, tension-type headaches, mild motor plus cognitive impairment",(combined DW),--
Eclampsia,Moderate abdominal pain and severe epilepsy,(combined DW),--
Long term sequelae of severe pre-eclampsia,"Tension-type headaches, mild motor plus cognitive impairment",(combined DW),--
Other hypertensive disorders of pregnancy,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,"0.049
(0.031-0.072)"
Long term sequelae of eclampsia,"Tension-type headaches, mild motor plus cognitive impairment",(combined DW),--
"Obstructed labor, acute event","Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,"0.324
(0.220-0.442)"
Rectovaginal fistula,Rectovaginal fistula,"has an abnormal opening between her vagina and rectum causing flatulence and feces to escape through the vagina. The person gets infections in her vagina, and has pain when urinating. ","0.501
(0.339-0.657)"
Vesicovaginal fistula,Vesicovaginal fistula,"has an abnormal opening between the bladder and the vagina, which makes her unable to control urinating. The woman is anxious and depressed.","0.342
(0.227-0.478)"
Maternal abortive outcome,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Ectopic Pregnancy,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Other maternal disorders,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,--
Mild motor impairment due to neonatal preterm birth complications 32-36wks,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Severe motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Severe motor plus cognitive impairment with epilepsy,(combined DW),--
